preamble,ending,blocks,bump,lo,hi,sig,installed
none,33,91,-1.45886521810725,-3.64845620701536,1.11501790320997,"",FALSE
none,77,91,2.32141337056705,0.218954656032222,4.72361053441259,*,FALSE
p00,33,100,-2.19138289372895,-4.10305540133447,-0.814537725686985,*,FALSE
p00,77,100,-2.42749345318144,-4.14202959703727,-0.963744049544234,*,FALSE
p33,33,107,36.0248951985136,29.7893620122019,42.3081788634873,*,TRUE
p33,77,107,1.27299046308857,0.42908937691329,2.36910988696427,*,FALSE
p77,33,102,1.6462112988111,-0.346673438494216,3.55372201897882,"",FALSE
p77,77,102,33.0241188740833,26.8415124412468,38.2327033363941,*,TRUE
