digit_cond,blocks,jump,vs_flat,lo,hi,sig
flat,414,4.97917168196695,0,,,""
inner,422,-0.910471747186043,-5.88964342915299,-8.77098997962599,-2.93608828483149,*
lead,431,-1.3573304319935,-6.33650211396045,-9.79146678776537,-3.11434897046665,*
