rho,endings,effect,share,level
0,20,-0.189839940206161,3.34400833333333,not a multiple of ten
1,8,0.345840096768824,1.01602083333333,a plain multiple of ten
2,1,0.370017424775865,8.94273333333333,$.50$
3,1,2.71960943979119,19.1871666666667,a whole dollar
