model,blocks,same,roll,diff
qwen/qwen3-235b-a22b-2507,140,1.12710559447976,-23.5355720273086,-24.6626776217884
openai/gpt-oss-20b,188,12.438613961519,-5.8613801844447,-18.2999941459637
qwen/qwen3-30b-a3b-instruct-2507,103,-0.196509594949928,-7.397956966034,-7.20144737108407
openai/gpt-4o-mini,131,12.7986055713075,5.88471589187788,-6.91388967942962
deepseek/deepseek-chat-v3-0324,192,0.674723149707701,-5.50243488290103,-6.17715803260874
qwen/qwen3.7-flash,297,1.74179668003963,-2.92491752476984,-4.66671420480947
deepseek/deepseek-v4-flash,183,-0.276111131515549,-2.05403624643968,-1.77792511492413
qwen/qwen3.5-9b,281,0.304075104541207,1.19878688419022,0.894711779649015
mistralai/mistral-small-3.2-24b-instruct,221,3.44883617923282,5.37731248914538,1.92847630991257
