model,blocks,flat,inner,lead,round_grad,lead_excess
openai/gpt-4o-mini,75,5.64025574035638,16.3678580183331,16.8828149524413,10.7276022779767,-10.2126453438686
mistralai/mistral-small-3.2-24b-instruct,173,5.07133890886265,7.84743298002927,9.64524601089582,2.77609407116662,-0.97828104030007
deepseek/deepseek-chat-v3-0324,148,6.73300641605185,4.1174000238006,2.34453726676968,-2.61560639225124,0.842743635220324
qwen/qwen3.5-9b,195,0.751245756954763,-1.05649335758876,0.889996937242938,-1.80773911454352,3.75422940937522
qwen/qwen3-235b-a22b-2507,104,3.42164181560423,-8.34914762605852,-15.697730918473,-11.7707894416628,4.42220614924828
qwen/qwen3-30b-a3b-instruct-2507,55,-3.11593671298578,-1.80009173292581,4.95206054643843,1.31584498005997,5.43630729930427
qwen/qwen3.7-flash,211,4.70018798186458,-0.545561977738819,-0.270928382744973,-5.2457499596034,5.52038355459725
deepseek/deepseek-v4-flash,157,4.99277866497588,-1.60107653637969,2.50400323557134,-6.59385520135557,10.6989349733066
openai/gpt-oss-20b,149,12.7057050976843,-17.9751825248819,-28.7747516439617,-30.6808876225662,19.8813185034864
