model,blocks,slope,lo,hi,p_pos,sig
mistralai/mistral-small-3.2-24b-instruct,905,-0.211818732364632,-2.92687281967432,2.5621624841753,0.44,""
openai/gpt-4o-mini,681,25.5322132274249,0.883358090643329,50.4458693250758,0.975,*
qwen/qwen3.7-flash,1079,-2.7368838106474,-18.0181059800278,11.8973164074888,0.415,""
pooled,2699,5.64598484402465,-2.04645924763408,14.9528414992328,0.92,""
