boundary,blocks,jump,vs_same,lo,hi,sig
same,840,3.27174231205674,0,,,""
roll,794,-2.86918984306866,-6.14093215512541,-8.35933084116531,-3.85579631078541,*
widen,102,0.466237511608146,-2.8055048004486,-6.63292796217675,1.05980253764922,""
